Land Use,Latitude,Longitude,Measure,StationID1,Station ID,Station Name,Value,Year
Agriculture,38.79923112,-121.7250358,Mortality,520CBDKLU,520CBDKLU,Colusa Basin Drain @ Knights Landing Upstream,,1/1/09
Open,39.21415,-122.00031,Mortality,520SACLSA,520SACLSA,Sacramento River at Colusa near Bridge Street,,1/1/09
Open,40.99795,-121.43507,Mortality,526PRFALR,526PRFALR,Pit River at Cassel-Fall River Road,,1/1/09
Open,38.29083333,-121.3758333,Mortality,531SAC001,531SAC001,Cosumnes River at Twin Cities Road,,1/1/09
Open,38.3925,-120.8013889,Mortality,532AMA002,532AMA002,Sutter Creek @ Hwy 49,,1/1/09
Agriculture,37.25555556,-120.6519444,Mortality,535MER007,535MER007,Bear Creek near Bert Crane Road,,1/1/09
Agriculture,37.35041,-120.96223,Mortality,535MER546,535MER546,Merced River @ River Road,,1/1/09
Urban,37.64568,-120.98081,Mortality,535STC206,535STC206,Dry Creek @ La Loma Rd.,,1/1/09
Open,37.66666667,-120.4666667,Mortality,535STC210,535STC210,Tuolumne R. @ Old LaGrange Bridge,,1/1/09
Agriculture,37.46444444,-121.03028,Mortality,535STC501,535STC501,TID 5 Harding Drain @ Carpenter Road,2.7,1/1/09
Agriculture,37.43323,-121.01597,Mortality,535STC504,535STC504,SJR @ Crows Landing,,1/1/09
Open,37.29527778,-120.8502778,Mortality,541MER522,541MER522,San Joaquin River at Lander Avenue,,1/1/09
Open,37.26388889,-120.9061111,Mortality,541MER542,541MER542,Mud Slough downstream of San Luis Drain,,1/1/09
Urban,37.99107,-121.69626,Mortality,541MERECY,541MERECY,Marsh Creek at East Cypress Crossing,,1/1/09
Agriculture,37.67555556,-121.2641667,Mortality,541SJC501,541SJC501,San Joaquin River at Airport Way near Vernalis,,1/1/09
Agriculture,37.41388889,-121.0141667,Mortality,541STC019,541STC019,Orestimba Creek @ River Road,,1/1/09
Agriculture,37.52138889,-121.1486111,Mortality,541STC516,541STC516,Del Puerto Creek at Vineyard Avenue,,1/1/09
Agriculture,38.23611,-121.41889,Mortality,544SAC002,544SAC002,Mokelumne River at New Hope Road,,1/1/09
Agriculture,36.2558,-119.8551,Mortality,551LKI040,551LKI040,Kings River - S. Fork,,1/1/09
Open,35.6724,-118.28996,Mortality,554SKR010,554SKR010,South Fork Kern River @ Fay Ranch Road,,1/1/09
Agriculture,36.4043708,-119.4569677,Mortality,558CCR010,558CCR010,Cross Creek - Rd. 60 and Hwy 99,,1/1/09
Urban/Ag,36.27894,-119.35971,Mortality,558PKC005,558PKC005,Packwood Creek in pond upstream of Road 94,0,1/1/09
Agriculture,36.0883677,-119.428913,Mortality,558TUR090,558TUR090,Tule River - Rd. 64 bridge,,1/1/09
Urban,37.36156,-118.38606,Mortality,603BSP002,603BSP002,Bishop Cr Canal at East Line St,,1/1/09
Open,36.5498,-117.98175,Mortality,603LOWSED,603LOWSED,Lower Owens River near mouth,,1/1/09
Open,34.34143,-117.17791,Mortality,628DEPSED,628DEPSED,Deep Creek above Warm Springs,,1/1/09
Open,38.54679,-119.49494,Mortality,631WWKLAR,631WWKLAR,West Walker River at Larson Lane,,1/1/09
Open,38.80885,-119.77725,Mortality,633WCRSED,633WCRSED,West Fork Carson River at Paynesville,,1/1/09
Urban,38.93439,-120.00035,Mortality,634UTRSED,634UTRSED,Upper Truckee River near inlet to Lake Tahoe,,1/1/09
Open,39.30211,-120.12135,Mortality,635MARSED,635MARSED,Martis Creek near mouth,,1/1/09
Open,39.46477,-120.0032,Mortality,635TRKSED,635TRKSED,Lower Truckee River near CA/NV state line,,1/1/09
Urban,39.3324,-120.16558,Mortality,635TROSED,635TROSED,Trout Creek (Truckee) near mouth,,1/1/09
Open,40.37771,-120.39514,Mortality,637SUS001,637SUS001,Susan River nr Litchfield,14.3,1/1/09
Open,33.52444,-116.07778,Mortality,719CVSCOT,719CVSCOT,Coachella Valley Stormwater Channel Outlet,3.9,1/1/09
Open,33.1992,-115.5971,Mortality,723ARGRB1,723ARGRB1,Alamo River Outlet,5.3,1/1/09
Agriculture,33.10472,-115.66361,Mortality,723NROTWM,723NROTWM,New River Outlet,30.3,1/1/09
Urban,33.94016,-117.65427,Mortality,801CCPT12,801CCPT12,Chino Creek (San Antonio Ck) at Euclid/Hwy 83 bridge,,1/1/09
Urban,33.92403,-117.59765,Mortality,801SARVRx,801SARVRx,Santa Ana River at Prado Basin Park Rd,,1/1/09
Urban,33.65556,-117.84472,Mortality,801SDCxxx,801SDCxxx,San Diego Creek at Campus,100,1/1/09
Open,33.737,-116.8263,Mortality,802SJCREF,802SJCREF,San Jacinto River - Reference Site,0,1/1/09
Urban,33.484429,-117.67577,Mortality,901SJSJC9,901SJSJC9,San Juan Creek 9,,1/1/09
Urban,33.31117,-117.34538,Mortality,902SSMR07,902SSMR07,Santa Margarita at Basilone Rd,0,1/1/09
Urban,33.22036,-117.35821,Mortality,903SLRRBB,903SLRRBB,San Luis Rey River at Benet Road Bridge,,1/1/09
Urban,33.04829,-117.22602,Mortality,904ESCOxx,904ESCOxx,Escondido Creek at Camino del Norte,1.3,1/1/09
Urban,32.97877,-117.23506,Mortality,905SDSDQ9,905SDSDQ9,San Dieguito River 9,,1/1/09
