BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
3215 MAPLE AVE,480083829177,13.01,NOT COMPLIED,-48.1,-48.1,Not Available,No,Not Available,Not Available,Lighting Parts Inc,23238,Not Available,Not Available,1,100,Not Available,90011,2024,Non-Refrigerated Warehouse,9.8,27.4,26.3,9.8,27.4,1956,008,"20,000 to 49,999 sqft"
3580 PASADENA AVE,497523854348,3260.04,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Yue-Kawana,56294,Not Available,Not Available,1,100,Not Available,90031,2023,Manufacturing/Industrial Plant,1040.4,1442.5,40485.8,1044.5,1453.9,1957,006,"20,000 to 49,999 sqft"
21315 SATICOY ST,381421898817,232.11,COMPLIED,32.5,32.5,Not Available,No,Not Available,Not Available,Bay Efficiency,21940,Not Available,Not Available,1,100,Not Available,91304,2021,Strip Mall,176.6,303.2,2871.8,175.5,302.1,1979,016,"20,000 to 49,999 sqft"
412 N OAKHURST DR,443371850408,48.59,COMPLIED,-41.3,-41.3,Not Available,No,Not Available,Not Available,Bay Efficiency,24294,Not Available,Not Available,1,100,Not Available,90210,2024,Multifamily Housing,36.3,69.4,593.6,33.4,66.3,1974,044,"20,000 to 49,999 sqft"
4560 FOUNTAIN AVE,474359857188,66.96,NOT COMPLIED,-80.7,-80.7,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",29815,Not Available,Not Available,1,100,Not Available,90029,2023,Other - Specialty Hospital,40.5,83.7,700.2,36.5,79.5,1980,030,"20,000 to 49,999 sqft"
1550 N SAN FERNANDO RD,491282857968,48.54,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",72000,Not Available,Not Available,1,100,Not Available,90065,2024,Manufacturing/Industrial Plant,11.8,33,886.4,11.8,33,1986,036,"50,000 to 99,999 sqft"
13266 FOOTHILL BLVD,433797932089,51.04,COMPLIED,-26.4,-26.4,87,No,Not Available,Not Available,Bay Efficiency,28285,Not Available,Not Available,1,100,Not Available,91342,2022,Multifamily Housing,27.2,76.1,1484.9,27.2,76.1,1985,028,"20,000 to 49,999 sqft"
4560 FOUNTAIN AVE,474359857188,72.03,COMPLIED,-79,-79,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",29815,Not Available,Not Available,1,100,Not Available,90029,2024,Other - Specialty Hospital,43.5,91,1799.8,40.6,87.9,1980,030,"20,000 to 49,999 sqft"
2520 W 8TH ST,475924843150,50.87,COMPLIED,-38.6,-38.6,81,No,Not Available,Not Available,"Vert Energy Group, Inc.",21554,Not Available,Not Available,1,100,Not Available,90057,2020,Office,37.4,81.9,651.4,37.3,81.7,1980,023,"20,000 to 49,999 sqft"
2353 PORTLAND ST,476149834373,108.17,COMPLIED,1.2,1.2,48,No,Not Available,Not Available,Cardinal Group Companies,33176,Not Available,Not Available,2,100,Not Available,90007,2023,Multifamily Housing,56.8,91.6,2090.5,Not Available,Not Available,2014,022,"20,000 to 49,999 sqft"
6643 FOOTHILL BLVD,478017912362,96.7,COMPLIED,7.9,7.9,38.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",30375.0,Not Available,Not Available,1.0,100.0,Not Available,91042,2019,Multifamily Housing,54.1,88.2,2262.1,53.4,87.5,1981,004,"20,000 to 49,999 sqft"
3580 PASADENA AVE,497523854348,3817.61,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Yue-Kawana,56294,Not Available,Not Available,1,100,Not Available,90031,2022,Manufacturing/Industrial Plant,1224,1655.3,46211,1228,1666.5,1957,006,"20,000 to 49,999 sqft"
2520 W 8TH ST,475924843150,42.13,COMPLIED,-39.9,-39.9,82,No,Not Available,Not Available,"Vert Energy Group, Inc.",21554,Not Available,Not Available,1,100,Not Available,90057,2023,Office,34.9,80.1,1852.9,36,83.2,1980,023,"20,000 to 49,999 sqft"
20812 VENTURA BLVD,384253883310,40.46,COMPLIED,-69,-69,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",54183,Not Available,Not Available,1,100,Not Available,91364,2022,Other,11.9,27.7,377.8,12,27.4,1978,019,"50,000 to 99,999 sqft"
4580 ELECTRONICS PL,478189874788,1196.1,COMPLIED,118.4,118.4,4,No,Not Available,Not Available,Kaiser Foundation Hospitals,63474,3529,55.6,1,100,Not Available,90039,2021,Office,346.7,465.1,3529,348.1,475.9,1977,037,"100,000+ sqft"
11666 SHERMAN WAY,445027895551,317,COMPLIED,-73.4,-73.4,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793,5085,41.75,1,100,Not Available,91605,2020,Laboratory,43.5,84.7,5085,42.7,81.6,1953,030,"100,000+ sqft"
7200 FOOTHILL BLVD,999000000382,198.93,COMPLIED,-3.5,-3.5,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",38041,Not Available,Not Available,1,100,Not Available,91042,2018,Strip Mall,78.9,220.9,4302,79.3,222,2015,026,"20,000 to 49,999 sqft"
700 WILSHIRE BLVD,483655840197,1380.1,COMPLIED,598,598,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,2308.3,29.36,1,70,Not Available,90017,2019,Office,290.1,812.3,2308.3,290.1,812.3,1965,020,"50,000 to 99,999 sqft"
6000 S GRAMERCY PL,466715817064,13.51,COMPLIED,-81.5,-81.5,Not Available,No,Not Available,Not Available,Bay Efficiency,39976,Not Available,Not Available,1,100,Not Available,90047,2024,Mixed Use Property,5.9,16.6,117.4,5.9,16.6,1926,004,"20,000 to 49,999 sqft"
5292 NEWCASTLE AVE,403269883441,92.8,COMPLIED,-23.9,-23.9,84,No,Not Available,Not Available,"Vert Energy Group, Inc.",42515,Not Available,Not Available,1,100,Not Available,91316,2022,Multifamily Housing,36.8,68.5,1986.1,37.2,68.9,1967,043,"20,000 to 49,999 sqft"
1250 N LYMAN PL,474315856930,83.53,COMPLIED,-3.6,-3.6,55,No,Not Available,Not Available,"Vert Energy Group, Inc.",41849,Not Available,Not Available,1,100,Not Available,90029,2024,Multifamily Housing,36,74.3,383,36,74.3,2008,046,"20,000 to 49,999 sqft"
20812 VENTURA BLVD,384253883310,36.14,COMPLIED,-69.9,-69.9,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",54183,Not Available,Not Available,1,100,Not Available,91364,2019,Other,11.4,26.9,499,10.9,26.4,1978,019,"50,000 to 99,999 sqft"
5320 NEWCASTLE AVE,403273883722,101.26,COMPLIED,-30.4,-30.4,91,No,Not Available,Not Available,"Vert Energy Group, Inc.",71322,Not Available,Not Available,1,100,Not Available,91316,2024,Multifamily Housing,25.3,59.8,3343,25.3,59.8,1969,003,"50,000 to 99,999 sqft"
4580 ELECTRONICS PL,478189874788,1223.4,COMPLIED,122.1,122.1,4,No,Not Available,Not Available,Kaiser Foundation Hospitals,63474,3079,48.51,1,100,Not Available,90039,2023,Office,340.7,473.2,3079,339.2,468.9,1977,037,"100,000+ sqft"
20812 VENTURA BLVD,384253883310,32.89,COMPLIED,-72.3,-72.3,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",54183,Not Available,Not Available,1,100,Not Available,91364,2023,Other,10.8,24.7,168.3,10.4,24.6,1978,019,"50,000 to 99,999 sqft"
5161 LANKERSHIM BLVD,448274882452,698.5,COMPLIED,-37.4,-37.4,80,No,06/27/2023,Not Available,MADISON-OFC 5161 CA LLC,205298,1948.2,9.49,1,100,Not Available,91601,2019,Office,57.5,142.6,1948.2,57.2,142.6,1985,040,"100,000+ sqft"
8000 HASKELL AVE,418292901307,701.87,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",57859,Not Available,Not Available,1,80,Not Available,91406,2020,Manufacturing/Industrial Plant,177,495.7,1193.1,177,495.7,1980,018,"50,000 to 99,999 sqft"
4580 ELECTRONICS PL,478189874788,998.4,COMPLIED,66.9,66.9,14,No,Not Available,Not Available,Kaiser Foundation Hospitals,63474,3584,56.46,1,100,Not Available,90039,2022,Office,287.1,356,3584,283.2,352,1977,037,"100,000+ sqft"
4580 ELECTRONICS PL,478189874788,1190.7,COMPLIED,99.8,99.8,7,No,Not Available,Not Available,Kaiser Foundation Hospitals,63474,3394,53.47,1,100,Not Available,90039,2020,Office,344,426.1,3394,344,426.1,1977,037,"100,000+ sqft"
19641 HARBORGATE WAY,469184768742,46.7,COMPLIED,-45.9,-45.9,82,No,08/13/2019,"2019, 2018, 2017",Hafele US,111570,Not Available,Not Available,1,100,Not Available,90501,2023,Distribution Center,6.3,17.7,554,6.3,17.7,2001,042,"100,000+ sqft"
1055 N KINGSLEY DR,469779855264,338.17,COMPLIED,-40.4,-40.4,96,No,Not Available,Not Available,Bay Efficiency,169584,Not Available,Not Available,5,100,Not Available,90029,2018,Senior Living Community,32.6,69.2,9765.1,32.6,69.2,1937,035,"50,000 to 99,999 sqft"
7200 FOOTHILL BLVD,999000000382,184.01,COMPLIED,-2.2,-2.2,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",38041,Not Available,Not Available,1,100,Not Available,91042,2019,Strip Mall,79.9,223.8,4970.8,79.9,223.8,2015,026,"20,000 to 49,999 sqft"
8000 HASKELL AVE,418292901307,893.01,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",57859,Not Available,Not Available,1,80,Not Available,91406,2021,Manufacturing/Industrial Plant,217.6,609.2,1515.6,217.6,609.2,1980,018,"50,000 to 99,999 sqft"
11666 SHERMAN WAY,445027895551,274.1,COMPLIED,-78.8,-78.8,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793.0,3630.0,29.8,1.0,100.0,Not Available,91605,2019,Laboratory,37.0,67.5,3630.0,37.3,68.2,1953,030,"100,000+ sqft"
11666 SHERMAN WAY,445027895551,1185.3,COMPLIED,-35.7,-35.7,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793,4132,33.93,1,100,Not Available,91605,2024,Laboratory,181.2,204.7,4132,181.2,204.7,1953,030,"100,000+ sqft"
8735 INDEPENDENCE AVE,382959906334,221.87,COMPLIED,-11.4,-11.4,69,No,Not Available,Not Available,"Conservice, LLC",79314,Not Available,Not Available,2,95,Not Available,91304,2024,Multifamily Housing,47,89.3,6.1,46,88.3,1986,058,"50,000 to 99,999 sqft"
11666 SHERMAN WAY,445027895551,242.7,COMPLIED,-80.4,-80.4,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793.0,5323.0,43.71,1.0,100.0,Not Available,91605,2018,Laboratory,32.2,62.5,5323.0,32.2,62.5,1953,030,"100,000+ sqft"
700 WILSHIRE BLVD,483655840197,1558.6,COMPLIED,596.2,596.2,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,1395.6,17.75,1,70,Not Available,90017,2020,Office,289.3,810.2,1395.6,Not Available,Not Available,1965,020,"50,000 to 99,999 sqft"
5320 NEWCASTLE AVE,403273883722,102.23,COMPLIED,-34.3,-34.3,94,No,Not Available,Not Available,"Vert Energy Group, Inc.",71322,Not Available,Not Available,1,100,Not Available,91316,2022,Multifamily Housing,21.8,59.1,3613.1,21.8,59.1,1969,003,"50,000 to 99,999 sqft"
700 WILSHIRE BLVD,483655840197,1639.3,COMPLIED,607.3,607.3,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,1972.8,25.1,1,70,Not Available,90017,2022,Office,294,823.1,1972.8,296.1,829.1,1965,020,"50,000 to 99,999 sqft"
700 WILSHIRE BLVD,483655840197,1590.4,COMPLIED,586.2,586.2,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,1750.5,22.27,1,70,Not Available,90017,2021,Office,285.2,798.6,1750.5,287.1,804,1965,020,"50,000 to 99,999 sqft"
11666 SHERMAN WAY,445027895551,325.9,COMPLIED,-67.5,-67.5,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793,4450,36.54,1,100,Not Available,91605,2021,Laboratory,46,103.5,4450,46.3,103.9,1953,030,"100,000+ sqft"
2520 W 8TH ST,475924843150,48.44,COMPLIED,-35.8,-35.8,79,No,Not Available,Not Available,"Vert Energy Group, Inc.",21554,Not Available,Not Available,1,100,Not Available,90057,2019,Office,38.7,85.8,1391.4,38.7,85.8,1980,023,"20,000 to 49,999 sqft"
601 WILSHIRE BLVD,484045840135,661.4,COMPLIED,30.4,30.4,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,898.6,5.22,1,60,Not Available,90017,2021,Office,54.2,151.7,898.6,55.2,154.4,1952,021,"100,000+ sqft"
5320 NEWCASTLE AVE,403273883722,86.44,COMPLIED,-31.2,-31.2,91,No,Not Available,Not Available,"Vert Energy Group, Inc.",71322,Not Available,Not Available,1,100,Not Available,91316,2023,Multifamily Housing,21.3,58.2,2750.6,21.3,58.2,1969,003,"50,000 to 99,999 sqft"
601 WILSHIRE BLVD,484045840135,643.4,COMPLIED,31.3,31.3,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,1201.5,6.98,1,60,Not Available,90017,2020,Office,54.6,152.8,1201.5,53.8,150.7,1952,021,"100,000+ sqft"
310 N HELIOTROPE DR,472280850516,49.94,COMPLIED,-46.5,-46.5,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",27968,Not Available,Not Available,1,100,Not Available,90004,2018,Multifamily Housing,30.2,55.9,1882.1,30.2,55.9,1988,019,"20,000 to 49,999 sqft"
5292 NEWCASTLE AVE,403269883441,75.44,COMPLIED,-26.6,-26.6,87,No,Not Available,Not Available,"Vert Energy Group, Inc.",42515,Not Available,Not Available,1,100,Not Available,91316,2024,Multifamily Housing,32.1,63,2327.9,31.2,62.1,1967,043,"20,000 to 49,999 sqft"
1020 E 14TH PL,485786832920,12.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,S.D. Herman.com,29000,Not Available,Not Available,1,100,Not Available,90021,2018,Manufacturing/Industrial Plant,6.4,17.8,49.4,6.4,17.8,1963,016,"20,000 to 49,999 sqft"
7200 FOOTHILL BLVD,999000000382,75.65,COMPLIED,-64.5,-64.5,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",38041,Not Available,Not Available,1,100,Not Available,91042,2020,Strip Mall,29,81.3,1645,29,81.3,2015,026,"20,000 to 49,999 sqft"
400 S BERENDO ST,472666846926,96.39,COMPLIED,-28.5,-28.5,89,No,Not Available,Not Available,Bay Efficiency,58198,Not Available,Not Available,1,100,Not Available,90020,2024,Multifamily Housing,30,58.6,2163.4,29.6,58.2,1967,024,"50,000 to 99,999 sqft"
400 S HOPE ST,484837841207,1630.97,COMPLIED,-46.4,-46.4,89,No,06/18/2024,Not Available,"Manova Partners, Inc.",779676,Not Available,Not Available,1,80,Not Available,90071,2024,Office,37,94.5,5303.5,36.5,94.1,1982,019,"100,000+ sqft"
11666 SHERMAN WAY,445027895551,1650.8,COMPLIED,-10.4,-10.4,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793,2554,20.97,1,100,Not Available,91605,2023,Laboratory,251,285.3,2554,251,285.3,1953,030,"100,000+ sqft"
11666 SHERMAN WAY,445027895551,252.4,COMPLIED,-79.1,-79.1,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,121793,4819,39.57,1,100,Not Available,91605,2022,Laboratory,33.9,66.7,4819,35.8,68.7,1953,030,"100,000+ sqft"
700 WILSHIRE BLVD,483655840197,1387.4,COMPLIED,498.7,498.7,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,1541.7,19.61,1,70,Not Available,90017,2023,Office,248.8,696.7,1541.7,251.9,705.3,1965,020,"50,000 to 99,999 sqft"
112 W 9TH ST,484232837685,154.97,NOT COMPLIED,-46.8,-46.8,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",155614,Not Available,Not Available,1,100,Not Available,90015,2024,Mixed Use Property,17.5,47.5,1665.9,17.5,47.5,1913,021,"100,000+ sqft"
20812 VENTURA BLVD,384253883310,48.27,COMPLIED,-63.6,-63.6,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",54183,Not Available,Not Available,1,100,Not Available,91364,2017,Other,13.3,32.5,516.2,13.3,32.5,1978,019,"50,000 to 99,999 sqft"
4580 ELECTRONICS PL,478189874788,1248,COMPLIED,132.1,132.1,3,No,Not Available,Not Available,Kaiser Foundation Hospitals,63474,2932,46.19,1,100,Not Available,90039,2024,Office,352.3,495.2,2932,354.9,502.3,1977,037,"100,000+ sqft"
5292 NEWCASTLE AVE,403269883441,89.28,COMPLIED,-15.9,-15.9,74,No,Not Available,Not Available,"Vert Energy Group, Inc.",42515,Not Available,Not Available,1,100,Not Available,91316,2023,Multifamily Housing,38.2,71.1,2542.6,37.1,70,1967,043,"20,000 to 49,999 sqft"
7219 WARING AVE,456626853685,73.82,COMPLIED,-64.2,-64.2,Not Available,No,Not Available,Not Available,yeshiva ohr elchonon chabad,35000,Not Available,Not Available,2,100,Not Available,90046,2024,Residence Hall/Dormitory,44.9,76.4,Not Available,44,75.4,2004,038,"50,000 to 99,999 sqft"
601 WILSHIRE BLVD,484045840135,704.7,COMPLIED,38.9,38.9,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,1060.1,6.16,1,60,Not Available,90017,2022,Office,57.7,161.7,1060.1,58.4,163.4,1952,021,"100,000+ sqft"
12111 CHANDLER BLVD,441541884154,287.78,COMPLIED,-15.4,-15.4,73,No,Not Available,Not Available,Standard Property,144285,Not Available,Not Available,2,100,Not Available,91607,2024,Multifamily Housing,36,73.1,8.4,35.2,72.2,1995,028,"100,000+ sqft"
5161 LANKERSHIM BLVD,448274882452,556.51,COMPLIED,-35.8,-35.8,79,No,06/27/2023,Not Available,MADISON-OFC 5161 CA LLC,205298,1055.6,5.14,1,100,Not Available,91601,2023,Office,48,120.2,1055.6,46.8,120.7,1985,040,"100,000+ sqft"
601 WILSHIRE BLVD,484045840135,697.6,COMPLIED,37.5,37.5,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,832.4,4.84,1,60,Not Available,90017,2023,Office,57.2,160,832.4,58.4,163.6,1952,021,"100,000+ sqft"
601 WILSHIRE BLVD,484045840135,558.9,COMPLIED,29.1,29.1,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,987,5.74,1,60,Not Available,90017,2019,Office,53.7,150.3,987,53.7,150.3,1952,021,"100,000+ sqft"
1015 N KINGSLEY DR,469533854956,150.15,COMPLIED,-7.5,-7.5,61,No,Not Available,Not Available,"Conservice, LLC",57000,Not Available,Not Available,3,100,Not Available,90029,2024,Multifamily Housing,48.4,78.3,3810.5,46.2,75.9,1982,038,"50,000 to 99,999 sqft"
1101 S NORTON AVE,464094841264,19.52,COMPLIED,-45.6,-45.6,99,No,Not Available,Not Available,"RPM Management, Inc",20835,Not Available,Not Available,1,100,Not Available,90019,2023,Multifamily Housing,16.4,45.9,1037.5,16.4,45.9,1928,013,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393610909764,2129.5,COMPLIED,-0.3,-0.3,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340,16958.3,33.16,1,95,Not Available,91324,2022,Enclosed Mall,60.8,170.2,16958.3,59.9,167.6,1971,004,"100,000+ sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,010,"50,000 to 99,999 sqft"
6041 CADILLAC AVE,447711836821,2201.15,COMPLIED,-11,-11,71,No,Not Available,Not Available,Kaiser Foundation Hospitals,194781,9750.9,50.06,1,100,Not Available,90034,2024,Hospital (General Medical & Surgical),187.7,372.9,9750.9,186.4,376.3,2015,021,"100,000+ sqft"
2723 W 8TH ST,475400843670,35.65,COMPLIED,-10.6,-10.6,60,No,Not Available,Not Available,Equitas Academy Charter School,20200,Not Available,Not Available,1,100,Not Available,90005,2024,K-12 School,26.6,74.5,456.7,26.6,74.5,2015,026,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,128,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000,Not Available,Not Available,1,0,217.4,91324,2021,Parking,16.2,45.4,217.4,16.2,45.4,1971,006,"100,000+ sqft"
901 S KINGSLEY DR,469727842743,53.16,COMPLIED,-47.3,-47.3,Not Available,No,Not Available,Not Available,"RPM Management, Inc",41810,Not Available,Not Available,0,100,Not Available,90006,2023,Multifamily Housing,22.2,62.3,1631.5,22.2,62.3,1930,010,"20,000 to 49,999 sqft"
1350 WESTWOOD BLVD,427886842987,14.66,COMPLIED,-97.2,-97.2,100,No,Not Available,Not Available,Robertson Property Group,44811,Not Available,Not Available,1,100,Not Available,90024,2021,Supermarket/Grocery Store,4.6,12.9,6.7,4.6,12.9,1991,015,"20,000 to 49,999 sqft"
19641 HARBORGATE WAY,469184768742,39.11,COMPLIED,-33,-33,70,No,Not Available,Not Available,Hafele America,111570,713,6.39,1,100,Not Available,90501,2024,Distribution Center,6.1,17.2,713,6.1,17.2,1984,042,"100,000+ sqft"
2520 W 8TH ST,475924843150,51.65,COMPLIED,-35.6,-35.6,78,No,Not Available,Not Available,"Vert Energy Group, Inc.",21554,Not Available,Not Available,1,100,Not Available,90057,2018,Office,38.7,85.8,1391.4,38.7,85.8,1980,023,"20,000 to 49,999 sqft"
19355 VICTORY BLVD,393701891307,144.83,COMPLIED,50.4,50.4,14,No,Not Available,Not Available,"Vert Energy Group, Inc.",26866,Not Available,Not Available,1,100,Not Available,91335,2024,Retail Store,96.7,210.8,1569,96.7,210.8,1958,023,"20,000 to 49,999 sqft"
11631 VICTORY BLVD,445073890681,51.9,NOT COMPLIED,-71.3,-71.3,98.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",46260.0,Not Available,Not Available,1.0,100.0,Not Available,91606,2019,Office,17.6,43.2,142.9,17.4,43.4,1955,029,"20,000 to 49,999 sqft"
720 E E ST,484560740860,89.7,NOT COMPLIED,-21.4,-21.4,Not Available,No,Not Available,Not Available,Advanced Compliance,105666,Not Available,Not Available,2,75,Not Available,90744,2024,Mixed Use Property,14.9,41.6,1743.1,14.9,41.8,1989,065,"20,000 to 49,999 sqft"
6840 FOOTHILL BLVD,999000000105,193.03,COMPLIED,72.3,72.3,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2019,Other - Recreation,130.1,193,935.3,119.8,182.2,1988,008,"20,000 to 49,999 sqft"
19333 VICTORY BLVD,394001891165,353.68,COMPLIED,-13.6,-13.6,63,No,Not Available,Not Available,"Vert Energy Group, Inc.",29920,Not Available,Not Available,1,100,Not Available,91335,2024,Supermarket/Grocery Store,211.6,473.6,2090.3,211.6,473.6,1958,026,"20,000 to 49,999 sqft"
11631 VICTORY BLVD,445073890681,42.9,COMPLIED,-74.5,-74.5,99,No,Not Available,Not Available,"Vert Energy Group, Inc.",46260,Not Available,Not Available,1,100,Not Available,91606,2020,Office,15.7,38.3,191.5,15.7,37.7,1955,029,"20,000 to 49,999 sqft"
8840 CORBIN AVE,392302906974,619.95,COMPLIED,50.4,50.4,14,No,Not Available,Not Available,"Vert Energy Group, Inc.",115000,Not Available,Not Available,1,100,Not Available,91324,2024,Retail Store,96.7,210.8,6716,96.7,210.8,1980,092,"100,000+ sqft"
1124 S BEVERLY DR,441860843172,723.66,NOT COMPLIED,-41.1,-41.1,93,No,Not Available,Not Available,Ashford Hospitality Trust,260000,6595,25.37,1,100,Not Available,90035,2024,Hotel,50.6,94.4,6595,50.9,96.3,2005,040,"100,000+ sqft"
9301 N TAMPA AVE,393610909764,3085.0,COMPLIED,6.0,6.0,Not Available,No,Not Available,Not Available,GGP Inc.,511340.0,22934.3,44.85,1.0,95.0,Not Available,91324,2016,Enclosed Mall,79.6,249.8,22934.3,78.0,245.0,1971,004,"100,000+ sqft"
6720 HAYVENHURST AVE,412927892877,55.3,COMPLIED,-20.8,-20.8,80,No,Not Available,Not Available,Greystone,22766,Not Available,Not Available,1,95,Not Available,91406,2024,Multifamily Housing,44.3,80.1,1636,44.3,80.1,1964,018,"20,000 to 49,999 sqft"
25825 S VERMONT AVE,472262746187,1685.1,NOT COMPLIED,101.8,101.8,1,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702,0,0,1,100,Not Available,90710,2022,Medical Office,269.9,415.6,0,268.4,411.2,2015,040,"50,000 to 99,999 sqft"
25825 S VERMONT AVE,472262746187,913.6,NOT COMPLIED,51.5,51.5,12.0,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702.0,0.0,0.0,1.0,100.0,Not Available,90710,2017,Medical Office,120.3,311.9,0.0,Not Available,Not Available,2015,040,"50,000 to 99,999 sqft"
1700 W PICO BLVD,477346838838,30.99,COMPLIED,-46.5,-46.5,92,Yes,Not Available,Not Available,Equitas Academy Charter School,23995,Not Available,Not Available,1,100,Not Available,90015,2024,K-12 School,19.7,52.9,529.3,20.1,54,2012,019,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,172.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000.0,Not Available,Not Available,1.0,0.0,296.5,91324,2019,Parking,18.7,52.5,296.5,18.7,52.3,1971,006,"100,000+ sqft"
922 E E ST,485474740776,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Advanced Compliance,73695,Not Available,Not Available,1,25,Not Available,90744,2023,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,1999,044,"20,000 to 49,999 sqft"
25825 S VERMONT AVE,472262746187,1561.8,NOT COMPLIED,97.7,97.7,1,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702,0,0,1,100,Not Available,90710,2021,Medical Office,261.2,391.4,0,262.9,396.2,2015,040,"50,000 to 99,999 sqft"
886 HILGARD AVE,428181846112,114.06,COMPLIED,14.7,14.7,29,No,Not Available,Not Available,Bay Efficiency,56747,Not Available,Not Available,1,100,Not Available,90024,2024,Multifamily Housing,36.3,73.1,1460.9,35.1,71.8,1976,029,"50,000 to 99,999 sqft"
6840 FOOTHILL BLVD,999000000105,184.46,COMPLIED,52.3,52.3,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2020,Other - Recreation,121.5,170.6,803.4,120.9,170,1988,008,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393610909764,1590.6,COMPLIED,-23,-23,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340,11801.5,23.08,1,95,Not Available,91324,2020,Enclosed Mall,46.9,131.4,11801.5,46.9,131.4,1971,004,"100,000+ sqft"
