BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
560 N WESTERN AVE,468586731771,,NOT COMPLIED,,,,,,,,,,,,,,90732,2022,,,,,,,,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
7040 HASKELL AVE,418152895212,,NOT COMPLIED,,,,,,,,,,,,,,91406,2022,,,,,,,,017,"20,000 to 49,999 sqft"
5401 SEPULVEDA BLVD,420343884090,81,COMPLIED,-7.4,-7.4,62,No,Not Available,Not Available,Landmark,33114,Not Available,Not Available,1,95,Not Available,91411,2022,Multifamily Housing,36.9,93.6,1248.3,37.1,94,1960,020,"20,000 to 49,999 sqft"
7000 W MANCHESTER AVE,436156807725,,NOT COMPLIED,,,,,,,,,,,,,,90045,2022,,,,,,,,927,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
1151 E LANZIT AVE,484205799167,,NOT COMPLIED,,,,,,,,,,,,,,90059,2020,,,,,,,,014,"20,000 to 49,999 sqft"
3201 EXPOSITION PL,461454830331,35.3,COMPLIED,81.9,81.9,17,No,Not Available,Not Available,Charles Gemeiner Cabinets,20000,Not Available,Not Available,1,100,Not Available,90018,2018,Non-Refrigerated Warehouse,26.6,74.5,15,26.6,74.5,1952,014,"20,000 to 49,999 sqft"
8525 W PICO BLVD,999000000329,358.5,COMPLIED,-18.9,-18.9,65,No,Not Available,Not Available,"Vert Energy Group, Inc.",96708,Not Available,Not Available,1,100,Not Available,90035,2019,Office,58.3,142.6,1736.2,Not Available,Not Available,2010,039,"50,000 to 99,999 sqft"
1515 MANNING AVE,429922843207,18.1,COMPLIED,-78.3,-78.3,Not Available,No,Not Available,Not Available,Stern Property Management,20253,Not Available,Not Available,1,100,Not Available,90024,2022,Multifamily Housing,15.2,25.6,934.6,15.4,26.2,1963,009,"20,000 to 49,999 sqft"
1320 N SIERRA BONITA AVE,454656857214,65.2,COMPLIED,-45.1,-45.1,100,Yes,Not Available,Not Available,DSPG Management,39348,Not Available,Not Available,1,95,Not Available,90046,2023,Multifamily Housing,25.2,57.9,1336,25,57.7,1987,028,"20,000 to 49,999 sqft"
626 S BROADWAY,485189839200,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",52207,Not Available,Not Available,1,30,Not Available,90014,2020,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1915,026,"50,000 to 99,999 sqft"
7513 FOUNTAIN AVE,454646857059,128,COMPLIED,-44.1,-44.2,Not Available,No,Not Available,Not Available,"Bay Efficiency, LLC",68066,Not Available,Not Available,1,100,Not Available,90046,2020,Multifamily Housing,29.6,66,3862.9,29.6,66,1973,024,"50,000 to 99,999 sqft"
1210 W ADAMS BLVD,474712834354,39.4,COMPLIED,-58.4,-58.4,Not Available,No,Not Available,Not Available,"Bay Efficiency, LLC",27096,Not Available,Not Available,1,100,Not Available,90007,2019,Multifamily Housing,25.6,49.1,1199.1,25.6,49.1,2002,038,"20,000 to 49,999 sqft"
306 W 3RD ST,486434841045,258.2,COMPLIED,22.5,22.5,21,No,Not Available,Not Available,"Civic Center Plaza, LLC",69846,Not Available,Not Available,3,85,Not Available,90013,2022,Multifamily Housing,54.6,135.4,2428.2,54.6,135.4,1918,026,"50,000 to 99,999 sqft"
16909 DEVONSHIRE ST,410465916609,,NOT COMPLIED,,,,,,,,,,,,,,91344,2022,,,,,,,,040,"20,000 to 49,999 sqft"
11123 HARTSOOK ST,448799882387,,NOT COMPLIED,,,,,,,,,,,,,,91601,2022,,,,,,,,026,"20,000 to 49,999 sqft"
2425 S HILL ST,479813832376,,NOT COMPLIED,,,,,,,,,,,,,,90007,2022,,,,,,,,015,"20,000 to 49,999 sqft"
1410 QUEENS RD,448260857340,,NOT COMPLIED,,,,,,,,,,,,,,90069,2022,,,,,,,,034,"20,000 to 49,999 sqft"
8401 N WINNETKA AVE,388882903777,,NOT COMPLIED,,,,,,,,,,,,,,91306,2022,,,,,,,,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
739 S NORMANDIE AVE,470763843835,21.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Kapin Living Trust,22394,Not Available,Not Available,1,100,Not Available,90005,2019,Multifamily Housing,Not Available,Not Available,2415.5,Not Available,Not Available,1927,004,"20,000 to 49,999 sqft"
4360 S FIGUEROA ST,476233824182,,NOT COMPLIED,,,,,,,,,,,,,,90037,2022,,,,,,,,027,"50,000 to 99,999 sqft"
