iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,co2_emission_tons,HDI_Category
COD,Congo (Democratic Republic of the),2022,0.481,59.743,99.010212,0.454266064,0.509688536,62.05,57.516,9.579486913,9.550751016,9.739098794,7.206164799,5.849373167,8.817830039,1080.138308,916.9209322,1245.928128,0.891,0.041094283,Low
CRI,Costa Rica,2022,0.806,77.32,5.180829,0.803380043,0.807468458,80.036,74.762,16.09200378,16.66074974,15.55136609,8.804059982,8.892390251,8.702249527,20248.38031,16531.18692,23964.72716,0.995,1.485363576,Very High
HRV,Croatia,2022,0.878,79.236,4.0303575,0.87481658,0.88084805,82.0,76.415,15.57269955,16.48468971,14.72340965,12.32871821,12.11152878,12.57882072,34323.80663,27572.96852,41433.25206,0.993,4.288182536,Very High
CUB,Cuba,2022,0.764,78.155,11.212191,0.750389588,0.771034949,80.565,75.793,14.46930027,15.2621603,13.71632957,10.54807197,10.64826957,10.43816796,7953.448426,5571.103594,10372.96853,0.973,1.860332974,High
CYP,Cyprus,2022,0.907,81.889,1.2514885,0.89523945,0.916327617,83.673,80.068,16.24308968,16.64411926,15.84014034,12.44017029,12.41040993,12.47198009,40136.89453,31776.53303,48469.74499,0.977,5.64978926,Very High
CZE,Czechia,2022,0.895,78.129,10.493986,0.888202714,0.898692097,81.22,75.106,16.3472805,16.93660927,15.79063034,12.91605342,12.77560331,13.06446025,39944.66682,30760.8669,49403.90584,0.988,9.196792884,Very High
CIV,Côte d'Ivoire,2022,0.534,58.916,28.1605425,0.492226546,0.571796123,60.282,57.686,10.10165024,9.532830238,10.6576004,4.23697763,3.055541139,5.419369475,5376.396062,4063.05563,6664.736678,0.861,0.4268649,Low
DNK,Denmark,2022,0.952,81.882,5.8822615,0.941874137,0.959920139,83.802,79.958,18.77403069,19.37519073,18.19271088,12.96049023,13.15695,12.76414967,62018.95694,51753.40967,72387.09453,0.981,5.057582197,Very High
DJI,Djibouti,2022,0.515,62.859,1.1208485,0.466363074,0.552363049,65.503,60.336,8.028374362,8.217637318,7.969712994,3.889984156,2.853793993,5.128992214,4874.51828,2306.84942,7480.589233,0.844,0.411412528,Low
DMA,Dominica,2022,0.74,72.981,0.0727375,0.545888568,0.600693366,76.451,69.875,13.55048385,14.39806186,12.73423764,9.1863441,8.9922852,9.7163593,12467.85548,3404.070532,8504.979709,0.909,2.096613821,High
DOM,Dominican Republic,2022,0.766,74.17,11.228821,0.775189681,0.753078886,77.536,71.044,13.55698967,14.77552032,12.3408699,9.150526383,9.559819495,8.726742414,18653.26836,14773.33355,22505.86309,1.029,2.139348057,High
ZZF.EAP,East Asia and the Pacific,2022,0.766,76.21549145,2149.26182,0.749141503,0.779044405,78.98557468,73.57184522,14.48271468,14.80642091,14.17675477,8.217525389,7.752528603,8.689207034,16137.69892,11938.97241,20216.14973,0.962,6.167173533,High
ECU,Ecuador,2022,0.765,77.894,18.001,0.760348324,0.768269604,80.481,75.313,14.86483955,15.3018198,14.44118023,8.969750404,8.920129776,9.026610374,10693.23484,9147.245608,12244.69524,0.99,2.23241865,High
EGY,Egypt,2022,0.728,70.159,110.990103,0.664446666,0.752029092,72.557,67.869,12.91180992,12.79423046,13.0234499,9.84810224,10.22875714,9.570965578,12360.8163,3738.527047,20789.67605,0.884,2.259567808,High
SLV,El Salvador,2022,0.674,71.475,6.336392,0.661702566,0.680679223,75.813,66.837,11.9099355,12.23986755,11.60951185,7.150929928,6.769279957,7.624269962,8886.173528,6244.001459,11794.02332,0.972,1.185857137,Medium
GNQ,Equatorial Guinea,2022,0.65,61.19,1.674908,0.742706897,0.738533524,63.261,59.432,12.13132742,11.95497827,12.299904,8.281327014,8.1781822,8.384471829,10662.65921,12825.82176,21120.91358,1.006,3.444060629,Medium
ERI,Eritrea,2022,0.493,66.604,3.6840315,0.742706897,0.738533524,68.678,64.457,7.318835512,6.863511833,7.777853741,5.09136442,3.975357679,5.712372783,1957.046464,12825.82176,21120.91358,1.006,0.193472275,Low
EST,Estonia,2022,0.899,79.155,1.326062,0.907665242,0.888320068,82.987,74.983,15.94297981,16.80971909,15.13871002,13.54843044,13.78102016,13.2729702,37151.63384,31199.43533,43736.51894,1.022,7.842170661,Very High
SWZ,Eswatini (Kingdom of),2022,0.61,56.36,1.2016705,0.606335376,0.614108904,60.599,52.647,14.92692756,14.39192655,15.45966716,5.73,5.81,5.65,8391.855111,6958.217818,9847.944426,0.987,0.948945332,Medium
ETH,Ethiopia,2022,0.492,65.645,123.3799245,0.472012672,0.512007837,68.903,62.613,9.938743514,10.23005914,9.755085884,2.390854081,1.671867083,3.197108271,2368.758391,1762.089313,2969.746197,0.922,0.157292351,Low
ZZG.ECA,Europe and Central Asia,2022,0.802,73.56457485,247.791584,0.78508398,0.815007084,77.02172376,70.18280354,15.50542354,15.5285273,15.48482443,10.60917907,10.39069397,10.84875898,19762.98177,13572.96853,26631.48742,0.963,5.308463125,Very High
FJI,Fiji,2022,0.729,68.312,0.929766,0.700314627,0.744878562,70.239,66.465,13.84869,14.3983,13.34579,10.37096977,10.43344021,10.30622005,11233.65882,6282.37104,16158.24317,0.94,1.174224808,High
FIN,Finland,2022,0.942,82.351,5.5407455,0.936606231,0.946922104,84.886,79.792,19.22859001,20.25945091,18.25875092,12.92915501,13.11326253,12.73550842,49522.09853,42302.02889,56913.94186,0.989,6.854598056,Very High
FRA,France,2022,0.91,83.229,64.626628,0.903026661,0.915940604,85.967,80.356,15.98756027,16.40241051,15.58458042,11.68859246,11.53085299,11.86492408,47378.74304,38135.29845,57262.85695,0.986,4.753896411,Very High
GAB,Gabon,2022,0.693,65.694,2.3889925,0.682986627,0.695840439,68.359,63.361,12.43426472,12.5830284,12.28550104,9.55,10.42,8.7,11194.21884,7295.504913,14958.16542,0.982,2.51172593,Medium
GMB,Gambia,2022,0.495,62.906,2.705992,0.480911138,0.511417074,64.344,61.481,8.977899686,9.860675743,8.135247991,4.512420177,3.672250032,5.590479851,2089.626826,1792.142484,2390.054779,0.94,0.2867667,Low
GEO,Georgia,2022,0.814,71.587,3.7443855,0.814951713,0.811037536,76.461,66.76,16.72682953,17.00892067,16.46575928,12.70217037,12.7620697,12.6304903,15952.02452,12236.81376,20140.8918,1.005,2.942032688,Very High
DEU,Germany,2022,0.95,80.989,83.369843,0.931832488,0.964414308,83.487,78.512,17.34334946,17.36997986,17.31982994,14.25594044,13.99030018,14.53505039,55340.19722,41022.15306,70040.15019,0.966,8.138240833,Very High
GHA,Ghana,2022,0.602,63.945,33.4758705,0.582637204,0.624513381,66.13,61.805,11.58627987,11.4822998,11.68865013,6.432318439,5.553439108,7.614237597,5380.271535,4793.640168,5969.912165,0.933,0.638570347,Medium
GRC,Greece,2022,0.893,80.614,10.384971,0.878485673,0.906792282,83.317,78.022,20.02638054,20.19031906,19.89185905,11.40853024,11.09685993,11.74693966,31381.667,24820.92808,38226.62689,0.969,5.510223913,Very High
GRD,Grenada,2022,0.793,75.335,0.1254375,0.781133019,0.800655201,78.298,72.588,16.58226156,17.12523042,16.06465362,9.85796464,9.79266232,9.92326696,13593.24958,9774.724657,17411.50054,0.976,2.647058824,High
GTM,Guatemala,2022,0.629,68.674,17.843908,0.604452189,0.649278859,71.754,65.697,10.76720388,10.64086602,10.89184573,5.668648013,5.204884199,6.253097976,8996.415822,6114.072504,11938.19197,0.931,1.117824857,Medium
GIN,Guinea,2022,0.471,58.985,13.8593405,0.421592477,0.515327208,60.238,57.643,10.20014763,9.130434204,11.23679054,2.35910296,1.402865117,3.446465852,2404.165832,1719.196362,3104.255804,0.818,0.359690645,Low
GNB,Guinea-Bissau,2022,0.483,59.861,2.1055655,0.450957711,0.523302804,61.929,57.671,10.5316806,10.38217728,11.59337933,3.673035,2.470246,5.062823,1879.853611,1487.419019,2282.042082,0.862,0.155794986,Low
GUY,Guyana,2022,0.742,65.989,0.8087255,0.737710942,0.743418187,69.399,62.778,13.02205765,13.32177301,12.73665117,8.627408726,8.703121311,8.529075547,35782.90961,26504.52076,45454.04286,0.992,4.429587592,High
HTI,Haiti,2022,0.552,63.728,11.5849955,0.530890335,0.571422628,66.695,60.892,11.13756869,11.08701137,11.188126,5.609468426,5.093575575,6.281492463,2801.712516,2110.190095,3506.197932,0.929,0.211870311,Medium
